source,month,ndvi_soil,ndvi_veg,n_observations,n_stations,ndvi_range
HLS,1,0.38804640840687404,0.9077923222439862,57,5,0.5197459138371121
HLS,2,0.39967471487106615,0.8999923601079561,60,5,0.50031764523689
HLS,3,0.47097012514920095,0.8926186814194594,42,5,0.4216485562702585
HLS,4,0.4613237534484002,0.8984076462316396,27,5,0.4370838927832394
HLS,5,0.49430906558351523,0.9088267449111861,33,5,0.41451767932767086
HLS,6,0.5448488566525601,0.9135771699882002,29,5,0.36872831333564005
HLS,7,0.5298371932875763,0.9095423363508774,38,5,0.37970514306330116
HLS,8,0.5324777236418371,0.908184815751975,20,5,0.37570709211013786
HLS,9,0.6402917865390981,0.8910643892758134,29,5,0.2507726027367153
HLS,10,0.20056572756330315,0.9105386509899627,13,5,0.7099729234266595
HLS,11,0.6104862120684611,0.9103480681689714,28,5,0.2998618561005103
HLS,12,0.34743015706137537,0.9072885497115171,58,5,0.5598583926501417
S2,1,0.3094311473626485,0.9120223267006433,60,5,0.6025911793379948
S2,2,0.3135251552684451,0.8925897126026718,60,5,0.5790645573342268
S2,3,0.3767044562909937,0.8874350991408877,45,5,0.510730642849894
S2,4,0.3728445193981541,0.9216104695627104,30,5,0.5487659501645563
S2,5,0.333923757883778,0.9351847246821734,41,5,0.6012609667983955
S2,6,0.27728268409873563,0.918291828203501,33,5,0.6410091441047654
S2,7,0.3334328894351933,0.9391982982378279,43,5,0.6057654088026345
S2,8,0.2404984555151214,0.9296718232882459,31,5,0.6891733677731245
S2,9,0.29764908110968447,0.9096851851322577,32,5,0.6120361040225732
S2,10,0.007368273182549899,0.8881193774597894,22,5,0.8807511042772396
S2,11,0.301876907922062,0.9315531548560659,42,5,0.6296762469340039
S2,12,0.18894430689017644,0.9168580541205612,59,5,0.7279137472303847
